mint,sources,protocols,symbol,name,decimals,is_verified,pool_count,sample_pools
13k8ewTF263vSq8Uxs1Xvi46kgdpxGAjzLuSiqu88U71,pumpportal_ws,pumpfun,,GD01,0,,0,
14aArwqCPZmPceCGLibukjGDzAUsBoa6xwE1Bwr4pump,pump_program_sell,pumpfun,,,6,false,1,2F6hJ6BTbEWft2WSEyPmAyG757aYGsaY2TskjM5i8wGR
21dPKwRBfDVVwQPyJDvgPY8sWi6y42Js5BBPEcQQpump,pump_program_sell,pumpfun,,,6,false,1,FzeNBHgJchAvQv1Gj6NSS2BpZEnRrRefH3bCrKYm3UkX
23kaqNVHmycGfy2Rf8p3TpA39yrMTPMXg5STkwhVpump,pump_program_sell,pumpfun,,,6,false,1,8htygbVocjNBRoGEprajAUETUuaRC2YykUPfdesevxNp
26vZQ8bHEemf9h62Q1Fcgr8QfFDRtsmFduGsMRDZpump,pump_program_sell,pumpfun,,,6,false,1,FfsnTBJK4cYWFhtjSgDcHLzxHs48wurScGsCny5EJLNW
2AoE7vRMHFR1H7h8R5Zy29urC112htBD63MhcjKwpump,pump_program_sell,pumpfun,,,6,false,1,3P3ks3YJ9CEV8hGE8WPcoLWYp59MsDtjpY1FVRgr5mmm
2bnuGoGWcLacaGwmPGy2pAqizRkoEdiiP5THH7iWpump,pump_program_sell,pumpfun,,,6,false,1,9tiaARSk1As1ChU9rotTx6uhFZnbUxfmVJow2KLdexhL
2EonxbRBmysGteDPRHy86VxGT3ZiWvG3kcSirNkrpump,pump_program_buy,pumpfun,,,6,false,14,4R7dmCFF5aa4Db9nEpTAQ8eQNgK16qXqDEAMskGuJctU
2FMmTGG23N383aNovVTjSjvz8bNissE9jXzzsq9hpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,5,DL8ypuAQ85HeNqTrGswyegEYJXznYnr4jNzpW5qCzcyU
2fmrEjX8WjmWfSfr77rGAv3p9LdYEck9jxHJhu6Xpump,pump_program_sell,pumpfun,,,6,false,1,FpurCBign23CaBCguqR2y3nZsWSPYeofpTZUsKcstUbv
2ftV68TBW6vyQURUgdXVArppXmvH9DnERYDwF64Nd1dP,pump_program_create,pumpfun,URINBOEV,Mukhammadali Urinboev,6,false,1,3NjZLbDLjWBaDFNkhA5xPwPP7xqR5hTfpkuzGMnronAx
2J6jrWKwnHAnDPKy5qTUs9DVV5PFW11CKLCMnS4opump,pump_program_sell,pumpfun,,,6,false,1,HhUwPefHyBEpzfcNK8MPky2c6Kr46ca3ynFP249FCxvG
2jpe9AVFRYEt85yNzUjGZpeKRENEFYHGWHhpw8h4pump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,15,9L7VpygakytyFwvz3CrnTFW2FSFgZG6naHRGXnCxy85U
2jX9SUSQRPep6yY4UjrrZMS7dF7p2o4Sea8wifBbpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,tst,test,6,false,24,HuWRuWq4RhAry9yt32mCMFfGNqxRj8wKRcpPb3q4qEnB
2Koq842oqgheKHTAFxbHxRrFEQVBJb211dy8gDNfpump,pump_program_buy,pumpfun,,,6,false,1,Frctuju5R2Udat54hxQBPwNaEDDxhgYcGGd5Z4MNdnxt
2KXizahP6YuxWWzQz6Gw9EKUjJh1cetjU3m7hX2Cpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,SLEEPCOIN,buy and sleep,6,false,16,3ysjxCWjeXwiy5g5LM1ybskXzmaMK9B51QeopENBH5n6
2LyFtVsVgqmFkJTrJ5gak3jmoFJLp9oWPhfistU8pump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,4,A4t9mv7ZRB7FBTZGrvgFmCa8VASXxLYe65PydyrsCRGG
2mCrs9fdtkNxDYxnHqDGcwCfcKocLnbgVcbC7VA9pump,pump_program_create_v2|pump_program_sell,pumpfun,dms,cented twit dms,6,false,3,9n2KdggDRN7k2tqr48xe1oXyi5UdFt4NUAZPompEUfh2
2mve7iPcQz9dXNigiNcTomP1Qg7HgoeVqinhRpL9Dgna,pump_program_buy|pump_program_sell,pumpfun,,,6,false,2,Emry15FErH4LxYCjHNNzAQVRoZgjaXWdtr1A8iQUMukw
